Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
curvibacter,0.000377135,0.00067435,0.000177242,0.000224858,4.84684E-05,0,0,0,0,0,0,0
methanosaeta,0.008889607,0.006375674,0.000590807,0.001068076,0.031068244,0.028291401,0.000514095,0.000547096,0.000279517,0.00029873,0.002557812,0.001577598
peptoclostridium,0,0,0,0,0,0,0.00034273,0.000455913,0,0,0.001983609,0.001577598
blastocatella,0.00285545,0.00349436,0.003190358,0.003991231,0,5.05204E-05,0,0,0,4.97884E-05,0,0
pedobacter,0.001939551,0.001593919,0.001772421,0.00286694,0.000581621,0.000757805,0,0,0,0.000149365,0.0001044,0
lacibacterium,0.000700393,0.000919568,0.00165426,0.001349148,0.000145405,0.000101041,0.000428412,0.000182365,0.000782648,0.000597461,0,0
aminomonas,0.000107753,0.000122609,0,0,0.000969368,0.000656765,0,0,0,0,0,0
geobacillus,0.000269382,0.000367827,0,5.62145E-05,0.000969368,0.000505204,4.28412E-05,0.000136774,0,0,0,0
morus,0.000107753,6.13046E-05,0.000590807,0.000281073,0.002471888,0.002273416,0,0,0,0,5.22002E-05,4.92999E-05
leadbetterella,0.004525618,0.003923492,0.004608295,0.00522795,0,0,0,0,5.59034E-05,0.000199154,0,0
rikenella,0.000161629,0.000245218,0,0,0.001890268,0.000858846,0.00068546,0.000501505,0.001341682,0.001344287,0.002610012,0.003056596
selenomonas,5.38764E-05,0,0,0,0,0,0.000642618,0.000866235,0.00296288,0.004530744,0.003236415,0.001331098
chondromyces,0.002155056,0.002390878,0.002304147,0.002923155,4.84684E-05,5.05204E-05,8.56825E-05,0.000319139,0.000447227,0.000597461,5.22002E-05,0
aciditerrimonas,0.00554927,0.005272192,0.006971523,0.006745742,0.001599457,0.000858846,0.002142062,0.002006018,0.006932021,0.007717202,0.000365402,0.000640899
rhodoferax,0.006249663,0.007111329,0.006557958,0.007870032,0.001696394,0.00146509,0.00034273,0.000592687,0.004975403,0.00373413,0,4.92999E-05
pedomicrobium,0.004687247,0.004046101,0.004431053,0.004272303,0.001454052,0.002728099,0.000942507,0.000820644,0.003354204,0.003186458,0.000261001,4.92999E-05
ardenticatena,0.000161629,0.000429132,0,0,0.001114773,0.000858846,0,0,0,0,0,0
desulfovibrio,0.000646517,0.000735655,0.000708968,0.000674574,0.001066305,0.001212489,0,4.55913E-05,0.000279517,0.000348519,5.22002E-05,0
paludibacter,0.001454663,0.003126533,0.000118161,0,0.008918185,0.007274932,0.00244195,0.00278107,0.006428891,0.008215086,0.00214021,0.001281798
cyanothece,0.001777921,0.003065228,0.002894955,0.003204227,0.001405584,0.001717692,0.000942507,0.001003009,0.003689624,0.00403286,0.000261001,0.0002958
rhodomicrobium,0.001077528,0.001287396,0.001358856,0.001798864,9.69368E-05,0.000252602,0,4.55913E-05,5.59034E-05,9.95768E-05,0.0001044,0
sphingomonas,0.006411292,0.007295243,0.008862106,0.01096183,0.000823963,0.001313529,0.000599777,0.000638278,0.002571556,0.001493652,0.0001044,0
ilumatobacter,0.002909326,0.00214566,0.003131277,0.00286694,0.000630089,0.000606244,0.001071031,0.000911826,0.001062165,0.00124471,5.22002E-05,4.92999E-05
veillonella,0,6.13046E-05,0,5.62145E-05,0,0,0.000214206,0.000592687,0.000447227,0.000199154,0,0
dokdonella,0.002586068,0.002452182,0.001890583,0.002473439,9.69368E-05,0.000404163,8.56825E-05,9.11826E-05,0.000223614,9.95768E-05,0,0
bdellovibrio,0.002478315,0.002574792,0.004253811,0.004665805,0.000193874,0.000404163,0.000514095,0.000547096,0.002012522,0.001692806,0.0001044,4.92999E-05
methylopila,0.000969775,0.000490436,0.000768049,0.000955647,0.000145405,0.000101041,0,0,0.00033542,0.000149365,5.22002E-05,0
rhodanobacter,0.000484888,0.00067435,0.000768049,0.001349148,4.84684E-05,0.000101041,0,0,0.000447227,0.000199154,0,0
bacteroides,0.01319972,0.012935262,0.006203474,0.00635224,0.04207057,0.044205315,0.031402622,0.024391356,0.049698122,0.043714215,0.137965235,0.412887005
ethanoligenens,0.000107753,0.000245218,5.90807E-05,0,0.001454052,0.00141457,0.000214206,0.000364731,0.001453488,0.001095345,0.000469802,0.000591599
christensenella,0,0,0,0,0,0,0.000428412,0.000364731,0.00016771,9.95768E-05,0,0
thermoanaerobaculum,0.013307473,0.014590486,0,5.62145E-05,0.056562621,0.074214408,0.001113872,0.001550105,0,0,0.009813645,0.004732794
kosmotoga,0.000323258,0.000183914,0,0,0.002326483,0.001566131,8.56825E-05,0.000227957,5.59034E-05,0,0.000365402,0.0002465
fusobacterium,0.000484888,0.000183914,0.000531726,0.000505931,9.69368E-05,0,0,0,5.59034E-05,0,5.22002E-05,0
tetrasphaera,0.033349496,0.027403139,0.041829139,0.03412221,0.014152772,0.014246741,0.055736441,0.057445062,0.058642665,0.076923077,0.063893094,0.040524551
acidobacterium,0.043424384,0.050024522,0.046260191,0.050311991,0.005622334,0.006668687,0.000728301,0.001094192,0.003074687,0.003236246,0.0001044,0
thermoactinomyces,5.38764E-05,6.13046E-05,0,0,0.001793331,0.00141457,0.001456602,0.001185374,0.001677102,0.00124471,0.000156601,0.000640899
kouleothrix,0.000646517,0.0013487,0.00171334,0.001011861,0.000145405,0,0,0,0,0,0,0
sphaerobacter,0.006734551,0.006866111,0.009571074,0.008938108,0.000436216,0.000707285,8.56825E-05,4.55913E-05,0.000391324,0.00029873,0.0001044,4.92999E-05
cytophaga,0.03044017,0.035679255,0.004608295,0.004553376,0.182725863,0.207285036,0.007711421,0.008707942,0.003242397,0.003136669,0.073341337,0.028100966
chlorobium,0.000161629,0.000122609,0,0,0.001647926,0.001717692,0.000171365,0.000319139,0.001118068,0.000398307,0,0
rhizobium,0.008189214,0.010176557,0.0101028,0.012423408,0.001454052,0.002273416,0.000385571,0.000319139,0.001341682,0.002588997,0.000365402,0.0002958
ignavibacterium,0.000484888,0.000490436,0.000590807,0.000449716,0.000242342,0.000151561,0,4.55913E-05,0,9.95768E-05,0,0
geotoga,0.000215506,0.000183914,0,0,0.00242342,0.001970294,4.28412E-05,0,0,0,0.000208801,0.0001479
cystobacter,0,0,0.000177242,5.62145E-05,4.84684E-05,5.05204E-05,0,9.11826E-05,0.000559034,0.000398307,5.22002E-05,0
verrucomicrobium,0.008296967,0.008582639,0.012347867,0.015346562,4.84684E-05,0.000101041,4.28412E-05,0,5.59034E-05,9.95768E-05,0,0
eubacterium,0.001185281,0.000735655,0,5.62145E-05,0.003247383,0.003182783,0.001199554,0.0010486,0.000111807,9.95768E-05,0.001513807,0.001281798
sediminibacterium,0.001562416,0.001777832,0.001063453,0.00174265,4.84684E-05,0.000151561,0,0,0,0,0,0
defluviicoccus,0.00059264,0.000367827,0.000708968,0.000393502,9.69368E-05,0.000101041,4.28412E-05,0,0.00016771,0,0,0
novosphingobium,0.008027585,0.010360471,0.013588562,0.01618978,0.00213261,0.002071335,0.001413761,0.001185374,0.004584079,0.004829475,0.000261001,0.0001972
mycobacterium,0.005818652,0.002452182,0.005376344,0.004384732,0.001405584,0.00146509,0.001970697,0.001686879,0.002683363,0.003684342,0.000678603,0.0001972
thermus,0.001131405,0.001103482,0.001536098,0.00112429,0,0,0,0,0.000111807,0.000149365,0,0
herbaspirillum,0.002478315,0.003003923,0.001949663,0.003035584,0.0009209,0.000909366,8.56825E-05,0.000410322,0.001173971,0.000796614,0.000208801,0.0001479
