Genus,0-F-T-A-1,0-F-T-A-2,0-F-T-1,0-F-T-2,0-F-A-1,0-F-A-2,24-F-T-A-1,24-F-T-A-2,24-F-T-1,24-F-T-2,24-F-A-1,24-F-A-2
Hydrogenophaga,0,0,0,0,0,0,0.000658588,0.001065604,0.0014676,0.000708,0.00033162,5.15E-05
Staphylococcus,0,0,0,0,5.23E-05,0,0,0,0,0,0,0
Sulfurihydrogenibium,0.000597631,0.000616295,0.000414938,0.000281833,0,0,0,0,0,0,0,0
Smithella,5.43E-05,6.16E-05,0,0,0.011824413,0.008151587,8.78E-05,0.000138992,0,0,0.00044216,0.000720572
Hirschia,0.000271651,0.000369777,0.000533491,0.000281833,0,0.000107968,8.78E-05,9.27E-05,0.000112892,0.000252857,0,0
Sterolibacterium,0.005921982,0.005238506,0.005453468,0.005072995,0.000889447,0.001403585,0.000131718,0.000185322,0.001128923,0.000960858,0.00016581,5.15E-05
Chthoniobacter,0.000271651,0.000431406,0,0.000620033,0,0,0,0,0,0,0,0
Candidatus Saccharimonas,0.040910573,0.046468631,0.046117368,0.055126543,0.002354418,0.002969121,0.001053741,0.001065604,0.002765861,0.003944574,0.00027635,0.000360286
Methylocystis,0.00494404,0.005485024,0.007291049,0.00648216,0.001046408,0.00080976,0.001009835,0.001019274,0.002596523,0.001820572,0.00044216,0.000154408
Nordella,0.002281865,0.001848885,0.002786011,0.001972831,0.000627845,0.00053984,0.000351247,0.000602298,0.001241815,0.000809143,0.00016581,0.000205878
Spirochaeta,5.43E-05,0,0,0,0.001098729,0.000971712,0,0,0,0,0,0
Crocinitomix,0.003422797,0.004498952,0.004564315,0.005918494,0.000575525,0.000377888,0,0,0.000112892,0,0,0
Xanthomonas,0.001412583,0.000924442,0.001244813,0.001860098,0.000470884,0.000485856,4.39E-05,0,0,0.000151714,5.53E-05,0.000102939
Dietzia,0.003422797,0.002896586,0.002963841,0.002085565,0,5.40E-05,0,0,0,0,0,0
Kaistobacter,0.00010866,6.16E-05,0.000414938,0.0001691,0,0,0,0,0,0,0,0
Chitinophaga,0.03449962,0.03821028,0.038174274,0.039343893,0.002040496,0.003940834,0.000482965,0.000602298,0.001241815,0.001567715,0.00011054,0.000154408
Parabacteroides,0,0,5.93E-05,0,0,0,0.004522304,0.006161972,0.01862723,0.015424295,0.007406179,0.025477379
Labrys,0.001086602,0.001047701,0.001007706,0.001070966,0.000418563,0.000377888,8.78E-05,4.63E-05,0.000169338,0.000404572,0,0
Proteiniphilum,0,0,0,0,0,0,8.78E-05,0.000324314,0.000395123,0.000404572,0.00016581,0
Bradyrhizobium,0.011898294,0.011463084,0.013337285,0.011611521,0.002668341,0.003131073,0.001580611,0.001575241,0.003612554,0.003337716,0.00022108,0.000411756
Stella,0.001140932,0.001848885,0.001363367,0.001521898,0.000784806,0.00053984,0.000482965,0.000648629,0.002032061,0.00207343,0,0.000257347
Thiobacillus,0,0.000123259,0.00017783,0.000225466,0.001988176,0.001133664,0.004829645,0.005420682,0.013998645,0.015474866,0.00198972,0.001286736
Arcobacter,0.000434641,0.000677924,0.000118554,0.000563666,0.015015958,0.009339236,0,0,0,0,5.53E-05,0
Lewinella,0.008095186,0.010415383,0.010847659,0.00946959,0.000313922,0.000377888,0,0,0,0.000354,0,0
Sarcina,5.43E-05,0,0.000118554,0,5.23E-05,0.000161952,4.39E-05,4.63E-05,5.64E-05,0,0.00049743,0.000360286
Deinococcus,0.00016299,0.000123259,0,0.000450933,5.23E-05,5.40E-05,0,4.63E-05,0.000282231,0.000303429,0,0
Bulleidia,0,0,0,0,0,0,0.005136986,0.006393625,0.018853014,0.014615151,0.010335489,0.005713109
Anaerophaga,0.00478105,0.003697769,0,0,0.027154293,0.02726193,0,4.63E-05,0,0,0.00027635,0.000360286
Pelospora,0,0,0,0,0.000575525,0.00053984,0,4.63E-05,5.64E-05,0,0,0
Rubrivivax,0.000434641,0.000369777,0.000414938,0.000281833,0.000470884,0.00053984,0.000395153,0.000231653,0.000225785,0.000101143,0.00022108,0.000102939
Burkholderia,0.002281865,0.002218661,0.003082395,0.001972831,0.000261602,0.00053984,8.78E-05,0.000185322,0.0007338,0.000859715,0,5.15E-05
Exilispira,0.001684233,0.001910514,0,0,0.01015016,0.010580868,0.000351247,0.000370645,0,0,0.00414525,0.002470534
Caulobacter,0.000923612,0.001109331,0.001244813,0.000958232,0.000261602,0.000107968,0,4.63E-05,0,0,0,0
Candidatus Soleaferrea,0,0,0,0,0,0,0.000878117,0.000555967,0.0007338,0.000809143,0.00049743,0.000154408
Arthrobacter,0.002553515,0.001479108,0.00243035,0.002592864,0.000261602,0.000377888,0.000131718,0.000138992,0,5.06E-05,5.53E-05,0.000154408
Azonexus,0.020156471,0.0202761,0.016301126,0.018319148,0.002772982,0.002591233,0.000614682,0.00074129,0.0014676,0.001011429,0.00033162,0.000154408
Fervidobacterium,0.000869282,0.002526809,0,0,0.009469994,0.017760743,0.002897787,0.002918829,0,0,0.009340629,0.006073395
Acidothermus,0.004074758,0.004560582,0.007409603,0.004396595,0.000575525,0.000431872,0.000351247,0.000509637,0.001693385,0.002326287,5.53E-05,5.15E-05
Clostridiisalibacter,0,0,0,0,0,0,0.006981033,0.006393625,0.0007338,0.000404572,0,5.15E-05
Novispirillum,0.00010866,6.16E-05,0,0,0.001203369,0.000917728,0,0,0,0,0,0
Pseudomonas,0.000869282,0.000677924,0.004386485,0.000507299,0,0,0,0,0,0,0,0
Lachnoclostridium,0,0,0,0,0,0,8.78E-05,0.000185322,5.64E-05,0.000455143,0.00138175,0.000720572
Syntrophomonas,0,0,0,0,0,0,0.002414823,0.003474796,0.005362384,0.008192576,0.019510308,0.009985074
Turicibacter,0.000325981,6.16E-05,0.000296384,5.64E-05,0.000313922,5.40E-05,0.002370917,0.002687176,0.001072477,0.001314858,0.00121594,0.000154408
Sporichthya,0.098609149,0.07642056,0.121576763,0.070740094,0.017004133,0.014197797,0.00403934,0.005791327,0.010724769,0.011580864,0.00359255,0.003139637
Anaerotruncus,0.000434641,0.000431406,0,0,0.001046408,0.000755776,0.000219529,0.000416976,0.000677354,0.001264286,0,5.15E-05
Desulfatiglans,0.000977942,0.00117096,0.001185536,0.000901866,0,0,0,0,0,0,0,0
Massilia,0.001032272,0.000801183,0.001066983,0.000845499,0.000156961,0.000107968,8.78E-05,9.27E-05,0.000112892,0.000202286,0,0
Phycisphaera,0.000543301,0.000924442,0.000652045,0.000732766,0,0,0,0,0,0,0,0
